timestamp,temperature,vibration,noise,fault
2023-01-01 08:00:00,20.0,2,2,0
2023-01-01 08:01:00,20.51,2,2,0
2023-01-01 08:02:00,21.02,3,2,0
2023-01-01 08:03:00,21.53,4,3,0
2023-01-01 08:04:00,22.03,5,3,0
2023-01-01 08:05:00,22.54,6,4,0
2023-01-01 08:06:00,23.05,7,4,0
2023-01-01 08:07:00,23.56,8,5,0
2023-01-01 08:08:00,24.07,9,5,0
2023-01-01 08:09:00,24.58,10,6,0
2023-01-01 08:10:00,25.08,11,6,0
2023-01-01 08:11:00,25.59,12,6,0
2023-01-01 08:12:00,26.1,13,7,0
2023-01-01 08:13:00,26.61,14,7,0
2023-01-01 08:14:00,27.12,15,8,0
2023-01-01 08:15:00,27.63,16,8,0
2023-01-01 08:16:00,28.14,17,9,0
2023-01-01 08:17:00,28.64,18,9,0
2023-01-01 08:18:00,29.15,19,10,0
2023-01-01 08:19:00,29.66,20,10,0
2023-01-01 08:20:00,30.17,21,10,0
2023-01-01 08:21:00,30.68,22,11,0
2023-01-01 08:22:00,31.19,23,11,0
2023-01-01 08:23:00,31.69,24,12,0
2023-01-01 08:24:00,32.2,25,12,0
2023-01-01 08:25:00,32.71,26,13,0
2023-01-01 08:26:00,33.22,27,13,0
2023-01-01 08:27:00,33.73,28,14,0
2023-01-01 08:28:00,34.24,29,14,0
2023-01-01 08:29:00,34.75,30,15,0
2023-01-01 08:30:00,35.25,25,13,0
2023-01-01 08:31:00,35.76,30,14,0
2023-01-01 08:32:00,36.27,26,14,0
2023-01-01 08:33:00,36.78,33,17,0
2023-01-01 08:34:00,37.29,34,15,0
2023-01-01 08:35:00,37.8,25,16,0
2023-01-01 08:36:00,38.31,25,15,0
2023-01-01 08:37:00,38.81,29,14,0
2023-01-01 08:38:00,39.32,26,14,0
2023-01-01 08:39:00,39.83,34,16,0
2023-01-01 08:40:00,40.34,31,12,0
2023-01-01 08:41:00,40.85,33,14,0
2023-01-01 08:42:00,41.36,29,17,0
2023-01-01 08:43:00,41.86,26,14,0
2023-01-01 08:44:00,42.37,33,17,0
2023-01-01 08:45:00,42.88,32,16,0
2023-01-01 08:46:00,43.39,29,15,0
2023-01-01 08:47:00,43.9,26,13,0
2023-01-01 08:48:00,44.41,26,12,0
2023-01-01 08:49:00,44.92,30,12,0
2023-01-01 08:50:00,45.42,30,17,0
2023-01-01 08:51:00,45.93,27,15,0
2023-01-01 08:52:00,46.44,34,12,0
2023-01-01 08:53:00,46.95,33,14,0
2023-01-01 08:54:00,47.46,34,12,0
2023-01-01 08:55:00,47.97,30,13,0
2023-01-01 08:56:00,48.47,26,15,0
2023-01-01 08:57:00,48.98,30,12,0
2023-01-01 08:58:00,49.49,30,17,0
2023-01-01 08:59:00,50.0,33,13,0
2023-01-01 09:00:00,50.26,26,13,0
2023-01-01 09:01:00,50.22,25,17,0
2023-01-01 09:02:00,49.83,30,14,0
2023-01-01 09:03:00,50.11,25,15,0
2023-01-01 09:04:00,50.31,29,12,0
2023-01-01 09:05:00,50.37,28,15,0
2023-01-01 09:06:00,49.75,28,17,0
2023-01-01 09:07:00,50.11,28,14,0
2023-01-01 09:08:00,49.95,32,13,0
2023-01-01 09:09:00,49.94,25,16,0
2023-01-01 09:10:00,50.35,32,17,0
2023-01-01 09:11:00,49.88,27,15,0
2023-01-01 09:12:00,49.56,33,13,0
2023-01-01 09:13:00,49.88,31,14,0
2023-01-01 09:14:00,49.74,32,16,0
2023-01-01 09:15:00,50.31,33,14,0
2023-01-01 09:16:00,50.34,27,17,0
2023-01-01 09:17:00,50.0,27,14,0
2023-01-01 09:18:00,49.75,28,17,0
2023-01-01 09:19:00,50.24,26,15,0
2023-01-01 09:20:00,49.75,32,15,0
2023-01-01 09:21:00,49.62,33,16,0
2023-01-01 09:22:00,49.83,25,17,0
2023-01-01 09:23:00,49.97,31,17,0
2023-01-01 09:24:00,49.68,33,13,0
2023-01-01 09:25:00,50.37,25,12,0
2023-01-01 09:26:00,49.61,29,13,0
2023-01-01 09:27:00,50.13,28,16,0
2023-01-01 09:28:00,50.11,33,12,0
2023-01-01 09:29:00,49.64,26,17,0
2023-01-01 09:30:00,49.67,27,17,0
2023-01-01 09:31:00,50.15,27,13,0
2023-01-01 09:32:00,49.7,30,15,0
2023-01-01 09:33:00,49.61,31,16,0
2023-01-01 09:34:00,49.57,30,12,0
2023-01-01 09:35:00,49.83,25,14,0
2023-01-01 09:36:00,50.41,26,15,0
2023-01-01 09:37:00,49.88,34,12,0
2023-01-01 09:38:00,50.36,32,14,0
2023-01-01 09:39:00,50.24,32,12,0
2023-01-01 09:40:00,50.37,34,15,0
2023-01-01 09:41:00,50.41,33,15,0
2023-01-01 09:42:00,49.53,32,13,0
2023-01-01 09:43:00,49.59,27,17,0
2023-01-01 09:44:00,49.92,32,15,0
2023-01-01 09:45:00,49.59,28,16,0
2023-01-01 09:46:00,50.46,32,14,0
2023-01-01 09:47:00,50.19,25,12,0
2023-01-01 09:48:00,50.22,29,16,0
2023-01-01 09:49:00,49.73,31,12,0
2023-01-01 09:50:00,50.43,26,16,0
2023-01-01 09:51:00,50.16,27,14,0
2023-01-01 09:52:00,49.54,33,16,0
2023-01-01 09:53:00,50.42,25,16,0
2023-01-01 09:54:00,49.81,33,17,0
2023-01-01 09:55:00,50.2,31,15,0
2023-01-01 09:56:00,49.73,30,17,0
2023-01-01 09:57:00,49.8,34,15,0
2023-01-01 09:58:00,49.8,31,15,0
2023-01-01 09:59:00,50.46,32,17,0
2023-01-01 10:00:00,49.51,28,15,0
2023-01-01 10:01:00,49.82,30,13,0
2023-01-01 10:02:00,49.73,28,12,0
2023-01-01 10:03:00,50.23,34,17,0
2023-01-01 10:04:00,50.44,28,14,0
2023-01-01 10:05:00,50.46,29,14,0
2023-01-01 10:06:00,50.35,34,13,0
2023-01-01 10:07:00,50.06,33,14,0
2023-01-01 10:08:00,50.29,33,12,0
2023-01-01 10:09:00,50.42,27,15,0
2023-01-01 10:10:00,50.28,32,13,0
2023-01-01 10:11:00,49.75,32,12,0
2023-01-01 10:12:00,50.09,34,14,0
2023-01-01 10:13:00,49.6,28,16,0
2023-01-01 10:14:00,50.29,32,12,0
2023-01-01 10:15:00,49.88,29,14,0
2023-01-01 10:16:00,49.71,32,12,0
2023-01-01 10:17:00,49.55,32,16,0
2023-01-01 10:18:00,49.64,29,14,0
2023-01-01 10:19:00,49.52,25,12,0
2023-01-01 10:20:00,49.97,30,12,0
2023-01-01 10:21:00,49.88,31,17,0
2023-01-01 10:22:00,49.63,26,15,0
2023-01-01 10:23:00,49.93,29,12,0
2023-01-01 10:24:00,49.61,33,16,0
2023-01-01 10:25:00,50.42,32,12,0
2023-01-01 10:26:00,50.49,25,16,0
2023-01-01 10:27:00,50.1,31,14,0
2023-01-01 10:28:00,50.1,34,15,0
2023-01-01 10:29:00,50.45,33,14,0
2023-01-01 10:30:00,50.27,29,13,0
2023-01-01 10:31:00,50.25,28,16,0
2023-01-01 10:32:00,49.67,33,16,0
2023-01-01 10:33:00,49.51,30,12,0
2023-01-01 10:34:00,50.37,29,14,0
2023-01-01 10:35:00,50.01,28,12,0
2023-01-01 10:36:00,50.37,26,12,0
2023-01-01 10:37:00,49.79,25,15,0
2023-01-01 10:38:00,49.76,33,12,0
2023-01-01 10:39:00,49.93,30,14,0
2023-01-01 10:40:00,50.05,29,16,0
2023-01-01 10:41:00,49.73,32,14,0
2023-01-01 10:42:00,50.01,26,12,0
2023-01-01 10:43:00,50.46,25,17,0
2023-01-01 10:44:00,50.14,25,17,0
2023-01-01 10:45:00,50.41,34,16,0
2023-01-01 10:46:00,49.65,27,14,0
2023-01-01 10:47:00,49.82,25,17,0
2023-01-01 10:48:00,50.43,29,12,0
2023-01-01 10:49:00,49.56,32,13,0
2023-01-01 10:50:00,49.9,25,16,0
2023-01-01 10:51:00,50.29,29,17,0
2023-01-01 10:52:00,49.51,32,17,0
2023-01-01 10:53:00,50.15,33,13,0
2023-01-01 10:54:00,50.46,27,15,0
2023-01-01 10:55:00,49.54,28,12,0
